Data,Rank,Artista,Música,Num_Artistas,Colaboracao
WEEK OF NOVEMBER 16; 2024,1,DJ Glenner ; MC Tuto,Barbie,2,True
WEEK OF NOVEMBER 16; 2024,2,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo],1,False
WEEK OF NOVEMBER 16; 2024,3,Henrique  E  Juliano,Ultima Saudade,1,False
WEEK OF NOVEMBER 16; 2024,4,Leo Foguete,Ultima Noite,1,False
WEEK OF NOVEMBER 16; 2024,5,The Weeknd ; Anitta,Sao Paulo,2,True
WEEK OF NOVEMBER 16; 2024,6,MC Cebezinho; MC Tuto; MC Kako; MC LUUKY ; MC Kadu,A Danada Me Ligando,5,True
WEEK OF NOVEMBER 16; 2024,7,Lady Gaga ; Bruno Mars,Die With A Smile,2,True
WEEK OF NOVEMBER 16; 2024,8,Pedro Sampaio ; Marina Sena,Escada Do Predio,2,True
WEEK OF NOVEMBER 16; 2024,9,MC Joaozinho VT; MC Tuto ; Deejhay RB,Vida de Artista,3,True
WEEK OF NOVEMBER 16; 2024,10,Jorge E Mateus ; Henrique  E  Juliano,Xonei,2,True
WEEK OF NOVEMBER 16; 2024,11,Gusttavo Lima,A Noite (La Notte),1,False
WEEK OF NOVEMBER 16; 2024,12,MC Jvila; Ryan SP; Marks; Aaron Modesto; Magal; Bruno MS; LUUKY ; DJ Dael,365 Dias (Vida Mansa),8,True
WEEK OF NOVEMBER 16; 2024,13,Murilo Huff ; Ana Castela,Peca Intima,2,True
WEEK OF NOVEMBER 16; 2024,14,MC Joaozinho VT; MC Vine7; MC Tuto; MC Duzinho SP; MC LUUKY ; MC Ryan SP,Tropa Do Sem K.O,6,True
WEEK OF NOVEMBER 16; 2024,15,Maiara  E  Maraisa,Vai La,1,False
WEEK OF NOVEMBER 16; 2024,16,MC Livinho ; DJ Topo,"Mtg Na Imaginaçao (Topo Sessions, Vol. 1)",2,True
WEEK OF NOVEMBER 16; 2024,17,ROSE ; Bruno Mars,APT.,2,True
WEEK OF NOVEMBER 16; 2024,18,MC GP; MC Jvila ; MC LUUKY Featuring DJ Yuri Pedrada,300 No 7,3,True
WEEK OF NOVEMBER 16; 2024,19,Matheus Fernandes ; Matheus E Kauan,Triplex,2,True
WEEK OF NOVEMBER 16; 2024,20,Hugo  E  Guilherme ; Maiara  E  Maraisa,O Meu Coracao Em Suas Maos (Colgando En Tu Manso) [Ao Vivo],2,True
WEEK OF NOVEMBER 16; 2024,21,Felipe  E  Rodrigo,Gosta de Rua,1,False
WEEK OF NOVEMBER 16; 2024,22,Kaique  E  Felipe / Luan Pereira,Saveiro,1,False
WEEK OF NOVEMBER 16; 2024,23,Ferrugem ; Sorriso Maroto,Apaguei Pra Todos (Ao Vivo),2,True
WEEK OF NOVEMBER 16; 2024,24,Matue,Crack Com Mussilon,1,False
WEEK OF NOVEMBER 16; 2024,25,MC LUUKY ; Oldilla,Nem Ligo Pro Amor,2,True
WEEK OF NOVEMBER 9; 2024,1,DJ Glenner ; MC Tuto,Barbie,2,True
WEEK OF NOVEMBER 9; 2024,2,Henrique  E  Juliano,Ultima Saudade,1,False
WEEK OF NOVEMBER 9; 2024,3,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo],1,False
WEEK OF NOVEMBER 9; 2024,4,Leo Foguete,Ultima Noite,1,False
WEEK OF NOVEMBER 9; 2024,5,MC Cebezinho; MC Tuto; MC Kako; MC LUUKY ; MC Kadu,A Danada Me Ligando,5,True
WEEK OF NOVEMBER 9; 2024,6,Lady Gaga ; Bruno Mars,Die With A Smile,2,True
WEEK OF NOVEMBER 9; 2024,7,ROSE ; Bruno Mars,APT.,2,True
WEEK OF NOVEMBER 9; 2024,8,Pedro Sampaio ; Marina Sena,Escada Do Predio,2,True
WEEK OF NOVEMBER 9; 2024,9,MC Jvila; Ryan SP; Marks; Aaron Modesto; Magal; Bruno MS; LUUKY ; DJ Dael,365 Dias (Vida Mansa),8,True
WEEK OF NOVEMBER 9; 2024,10,Jorge E Mateus ; Henrique  E  Juliano,Xonei,2,True
WEEK OF NOVEMBER 9; 2024,11,Murilo Huff ; Ana Castela,Peca Intima,2,True
WEEK OF NOVEMBER 9; 2024,12,MC Joaozinho VT; MC Tuto ; Deejhay RB,Vida de Artista,3,True
WEEK OF NOVEMBER 9; 2024,13,Kaique  E  Felipe / Luan Pereira,Saveiro,1,False
WEEK OF NOVEMBER 9; 2024,14,Felipe  E  Rodrigo,Gosta de Rua,1,False
WEEK OF NOVEMBER 9; 2024,15,Hugo  E  Guilherme ; Maiara  E  Maraisa,O Meu Coracao Em Suas Maos (Colgando En Tu Manso) [Ao Vivo],2,True
WEEK OF NOVEMBER 9; 2024,16,Matue,Crack Com Mussilon,1,False
WEEK OF NOVEMBER 9; 2024,17,Gusttavo Lima,A Noite (La Notte),1,False
WEEK OF NOVEMBER 9; 2024,18,Matheus Fernandes ; Matheus E Kauan,Triplex,2,True
WEEK OF NOVEMBER 9; 2024,19,Maiara  E  Maraisa,Vai La,1,False
WEEK OF NOVEMBER 9; 2024,20,MC Livinho ; DJ Topo,"Mtg Na Imaginaçao (Topo Sessions, Vol. 1)",2,True
WEEK OF NOVEMBER 9; 2024,21,Lady Gaga,Disease,1,False
WEEK OF NOVEMBER 9; 2024,22,MC GP; MC Jvila ; MC LUUKY Featuring DJ Yuri Pedrada,300 No 7,3,True
WEEK OF NOVEMBER 9; 2024,23,Israel ; Rodolffo,Arruma Um Bao,2,True
WEEK OF NOVEMBER 9; 2024,24,Matheus ; Kauan,Cronometro,2,True
WEEK OF NOVEMBER 9; 2024,25,The Box: MC Brinquedo; MC Cebezinho; MC Tuto ; MC Laranjinha,The Box Medley Funk 2,4,True
WEEK OF NOVEMBER 2; 2024,1,Henrique  E  Juliano,Ultima Saudade,1,False
WEEK OF NOVEMBER 2; 2024,2,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo],1,False
WEEK OF NOVEMBER 2; 2024,3,DJ Glenner ; MC Tuto,Barbie,2,True
WEEK OF NOVEMBER 2; 2024,4,Leo Foguete,Ultima Noite,1,False
WEEK OF NOVEMBER 2; 2024,5,MC Cebezinho; MC Tuto; MC Kako; MC LUUKY ; MC Kadu,A Danada Me Ligando,5,True
WEEK OF NOVEMBER 2; 2024,6,Lady Gaga ; Bruno Mars,Die With A Smile,2,True
WEEK OF NOVEMBER 2; 2024,7,ROSE ; Bruno Mars,APT.,2,True
WEEK OF NOVEMBER 2; 2024,8,Jorge E Mateus ; Henrique  E  Juliano,Xonei,2,True
WEEK OF NOVEMBER 2; 2024,9,Kaique  E  Felipe / Luan Pereira,Saveiro,1,False
WEEK OF NOVEMBER 2; 2024,10,Gusttavo Lima,A Noite (La Notte),1,False
